,Alias,AppAccountFlag,AttrStatus,ChatRoomId,City,ContactFlag,DisplayName,EncryChatRoomId,HeadImgUrl,HideInputBarFlag,IsAdmin,IsOwner,KeyWord,MemberCount,MemberList,NickName,OwnerUin,PYInitial,PYQuanPin,Province,RemarkName,RemarkPYInitial,RemarkPYQuanPin,Self,Sex,Signature,SnsFlag,StarFriend,Statues,Uin,UniFriend,UserName,VerifyFlag
0,,0,0,0,,0,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=0&username=@@063da07bb1103ce347ff88918c707f2213cba27ef04d4d519973bdabb971524c&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,25,[],ç‹è€…è£è€€,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@063da07bb1103ce347ff88918c707f2213cba27ef04d4d519973bdabb971524c,0
1,,0,0,0,,0,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=0&username=@@fb4418ba2c44cdd5ec3adc891d558f5703e4e72931dc6287f6969e378736a668&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,23,[],åŒ—èˆªè‰åŸç‹ä»£è¡¨é˜Ÿ,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@fb4418ba2c44cdd5ec3adc891d558f5703e4e72931dc6287f6969e378736a668,0
2,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=685359505&username=@@e9d9a45deee58dff553d5bf76fe63321d8ad9cce0f7a5ca950bb07b2c13d156d&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,33,[],ç‹æ°å®¶æ—ç¾¤,0,WSJZQ,wangshijiazuqun,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@e9d9a45deee58dff553d5bf76fe63321d8ad9cce0f7a5ca950bb07b2c13d156d,0
3,,0,0,0,,2,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=692732450&username=@@363b7e66c25eb5a5d8d0636f33bbe3fd42df790d2a96e9e9770fb85b71a392df&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,179,[],åŒ—èˆªç»ç®¡-MBAè¾¾ç”Ÿè®­ç»ƒç¾¤,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@363b7e66c25eb5a5d8d0636f33bbe3fd42df790d2a96e9e9770fb85b71a392df,0
4,,0,0,0,,0,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=0&username=@@5b59132f7d4af2d61cd1071364d2d6c9ad908844926c14884066018b99994229&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,371,[],2017çº§åŒ—èˆªMBAåŒå­¦ç¾¤,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@5b59132f7d4af2d61cd1071364d2d6c9ad908844926c14884066018b99994229,0
5,,0,0,0,,2051,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=692677990&username=@@3c6c61ffe5920aa40aaa42406233b2d240d2c40f318e3e1e809adbe34cd1b704&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,58,[],2017åŒ—èˆªMBA-å‘¨æœ«ç­-3ç­,0,2017BHMBAZMB3B,2017beihangMBAzhoumoban3ban,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@3c6c61ffe5920aa40aaa42406233b2d240d2c40f318e3e1e809adbe34cd1b704,0
6,,0,0,0,,0,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=0&username=@@b3b1685c4956c8caaaef5ba023826337e9416345731ce5de6722e80906c981f4&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,14,[],2017çº§å‘¨æœ«ä¸‰ç­ç­å§”ç¾¤,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@b3b1685c4956c8caaaef5ba023826337e9416345731ce5de6722e80906c981f4,0
7,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=628201793&username=@@2da8b0493f6cdcfa4b68dc69b32911ea3d9841cfa6cf721015ed2b6e3c2efa60&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,1,,0,[],ã€‚ã€‚ã€‚ã€‚ã€‚,0,,,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,1,0,0,@@2da8b0493f6cdcfa4b68dc69b32911ea3d9841cfa6cf721015ed2b6e3c2efa60,0
8,,0,0,0,,1,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=631553690&username=@@e96eceff8ef78726e93b4227e15c47affb3301d02e01a65b0258de620dda8c71&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483,0,,0,,0,[],5ç­,0,5B,5ban,,,,,"{u'UserName': u'@1daa95abf62449359d88c456640a28fe', u'City': u'', u'DisplayName': u'', u'UniFriend': 0, u'OwnerUin': 0, u'MemberList': [], u'PYQuanPin': u'', u'RemarkPYInitial': u'', u'Uin': 19107685, u'AppAccountFlag': 0, u'VerifyFlag': 0, u'Province': u'', u'KeyWord': u'', u'RemarkName': u'', u'PYInitial': u'', u'ChatRoomId': 0, u'HideInputBarFlag': 0, u'HeadImgFlag': 1, u'EncryChatRoomId': u'', u'AttrStatus': 0, u'SnsFlag': 17, u'MemberCount': 0, u'WebWxPluginSwitch': 0, u'Alias': u'', u'Signature': u'ç”Ÿæ´»ä¸æ˜“ï¼Œä¸”è¡Œä¸”çæƒœ', u'ContactFlag': 0, u'NickName': u'MIKE', u'RemarkPYQuanPin': u'', u'HeadImgUrl': u'/cgi-bin/mmwebwx-bin/webwxgeticon?seq=567821827&username=@1daa95abf62449359d88c456640a28fe&skey=@crypt_738f2167_d13b312d7fba3495f94905ef62743483', u'Sex': 1, u'StarFriend': 0, u'Statues': 0}",0,,0,0,0,0,0,@@e96eceff8ef78726e93b4227e15c47affb3301d02e01a65b0258de620dda8c71,0
